,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,9519,22015,24959,8800,6357,14330.0
1,ProductCD,803,1358,1713,1105,904,1176.6
2,card1,21494,43870,48620,20136,15647,29953.4
3,card2,15780,31604,36068,14657,10780,21777.8
4,card3,1178,1614,1672,1095,1022,1316.2
5,card4,1720,3194,3443,1650,1325,2266.4
6,card5,5275,10716,11904,5183,3934,7402.4
7,card6,1538,2559,2768,1460,1078,1880.6
8,addr1,14755,30883,34615,14418,11344,21203.0
9,addr2,240,550,568,251,194,360.6
10,dist1,11256,21270,24859,10610,8311,15261.2
11,P_emaildomain,5782,10959,12318,5261,4069,7677.8
12,R_emaildomain,2647,4925,5773,3033,2280,3731.6
13,C1,6456,11440,12491,6171,5004,8312.4
14,C2,5615,10139,11268,5094,4079,7239.0
15,C4,734,1780,2077,826,609,1205.2
16,C5,2224,3982,4205,2130,1879,2884.0
17,C6,4654,8809,9399,4513,3530,6181.0
18,C7,511,1093,1199,487,343,726.6
19,C8,1280,3119,3634,1182,929,2028.8
20,C9,3745,6545,7369,3550,2610,4763.8
21,C10,1174,3276,3382,1414,1026,2054.4
22,C11,4564,8296,8713,4276,3462,5862.2
23,C12,1552,3140,3289,1296,952,2045.8
24,C13,9948,16798,17460,9565,7713,12296.8
25,C14,5495,9700,10697,5120,4129,7028.2
26,D1,7934,13809,14825,7401,5914,9976.6
27,D2,10027,17229,18620,9361,7493,12546.0
28,D3,3722,8605,9722,3921,3028,5799.6
29,D4,9470,18340,19622,8774,6475,12536.2
30,D5,4235,9715,11106,4255,3011,6464.4
31,D6,1790,3614,3963,1688,1100,2431.0
32,D8,4774,10404,11988,4987,3791,7188.8
33,D9,1667,4862,6250,1957,1348,3216.8
34,D10,7667,14720,16875,7689,6018,10593.8
35,D11,6925,13560,14051,5628,4442,8921.2
36,D12,1555,3206,3575,1389,960,2137.0
37,D13,1242,2422,2534,1084,775,1611.4
38,D14,1671,4653,5294,1589,1024,2846.2
39,D15,5026,10267,11623,4949,3842,7141.4
40,M2,959,1657,1931,816,685,1209.6
41,M3,1199,2145,2245,1125,1004,1543.6
42,M4,2610,5565,6112,2232,1899,3683.6
43,M5,2302,4275,4894,2107,1839,3083.4
44,M6,1850,3503,4047,1793,1428,2524.2
45,M7,1109,2562,2937,951,740,1659.8
46,M8,1268,2925,3576,1056,762,1917.4
47,M9,1198,2529,3009,1039,798,1714.6
48,V3,698,1347,1482,596,392,903.0
49,V4,1195,2244,2518,925,736,1523.6
50,V5,1325,2973,2867,1194,792,1830.2
51,V6,528,1071,1118,589,303,721.8
52,V7,767,1335,1508,697,469,955.2
53,V8,318,550,639,300,114,384.2
54,V9,294,702,711,236,178,424.2
55,V10,774,1601,1706,565,362,1001.6
56,V11,691,1547,1576,537,345,939.2
57,V12,1260,2392,2577,1120,930,1655.8
58,V13,1373,2489,2867,1195,1032,1791.2
59,V17,92,439,345,138,63,215.4
60,V19,1170,2245,2644,1150,879,1617.6
61,V20,1615,2940,3481,1422,1186,2128.8
62,V29,497,1131,1166,476,349,723.8
63,V30,585,1223,1271,566,402,809.4
64,V33,288,807,698,306,230,465.8
65,V34,309,771,761,326,288,491.0
66,V35,1633,2921,3201,1417,1181,2070.6
67,V36,1619,2887,3109,1425,1047,2017.4
68,V37,954,1912,2244,1028,676,1362.8
69,V38,1459,2933,2971,1429,1132,1984.8
70,V40,433,1258,1350,506,365,782.4
71,V44,1133,2359,2827,1177,728,1644.8
72,V45,1711,3365,3769,1677,1390,2382.4
73,V46,265,528,630,289,202,382.8
74,V47,540,1087,1165,629,502,784.6
75,V48,737,1657,1741,712,566,1082.6
76,V49,860,1682,1826,802,641,1162.2
77,V51,389,1085,1063,414,334,657.0
78,V52,461,1306,1319,508,359,790.6
79,V53,1446,2800,3088,1475,1109,1983.6
80,V54,1727,2908,3075,1608,1250,2113.6
81,V56,1287,2296,2693,1321,953,1710.0
82,V58,259,755,667,303,313,459.4
83,V59,237,487,544,223,131,324.4
84,V60,259,676,569,236,191,386.2
85,V61,1669,3044,3593,1535,1266,2221.4
86,V62,2090,3573,4173,1950,1766,2710.4
87,V63,159,382,417,226,156,268.0
88,V64,305,529,783,282,198,419.4
89,V69,486,1044,1191,490,408,723.8
90,V70,639,1310,1350,633,501,886.6
91,V71,123,319,304,119,106,194.2
92,V72,141,452,350,165,158,253.2
93,V73,345,873,792,389,248,529.4
94,V74,568,1308,1339,673,454,868.4
95,V75,1636,2946,3252,1509,1186,2105.8
96,V76,1801,3062,3808,1635,1140,2289.2
97,V78,1606,3146,3540,1551,1227,2214.0
98,V80,252,544,602,205,122,345.0
99,V81,400,833,859,380,226,539.6
100,V82,1625,2779,3275,1598,1318,2119.0
101,V83,2055,3477,3899,2040,1562,2606.6
102,V84,143,305,302,139,62,190.2
103,V85,254,647,603,267,167,387.6
104,V87,2333,3987,4132,2151,1658,2852.2
105,V90,606,1256,1346,653,525,877.2
106,V91,673,1336,1338,583,517,889.4
107,V92,72,247,298,105,70,158.4
108,V93,161,344,487,194,130,263.2
109,V94,270,733,623,351,231,441.6
110,V95,202,473,519,181,110,297.0
111,V96,1010,1876,2121,971,676,1330.8
112,V97,306,727,691,264,221,441.8
