,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,6289,10946,8186,8677,9182,8656.0
1,ProductCD,645,961,984,1114,1044,949.6
2,card1,14533,24382,17442,19287,20568,19242.4
3,card2,11679,19493,14238,15673,16172,15451.0
4,card3,345,563,425,411,468,442.4
5,card4,821,1300,864,1031,1241,1051.4
6,card5,3760,6003,4514,5018,5463,4951.6
7,card6,1055,1331,1329,1102,1019,1167.2
8,addr1,9309,16345,12242,13056,14152,13020.8
9,addr2,34,57,46,23,33,38.6
10,dist1,6971,11181,8041,8997,9398,8917.6
11,P_emaildomain,3159,4950,3848,4283,4268,4101.6
12,R_emaildomain,1128,1807,1489,1736,1833,1598.6
13,C1,4335,6687,5307,5656,5382,5473.4
14,C2,3707,5234,4225,4373,4774,4462.6
15,C4,320,474,488,436,462,436.0
16,C5,1163,1801,1235,1422,1589,1442.0
17,C6,2697,4146,3055,3639,3407,3388.8
18,C7,237,407,289,283,284,300.0
19,C8,729,1267,1062,1013,1037,1021.6
20,C9,1905,2932,2435,2496,2409,2435.4
21,C10,583,1532,991,1236,1224,1113.2
22,C11,2579,3599,2992,3086,3405,3132.2
23,C12,941,1477,1032,887,1234,1114.2
24,C13,6265,9778,8092,8509,8603,8249.4
25,C14,2913,4297,3478,3579,4024,3658.2
26,D1,5553,8335,6039,6342,6814,6616.6
27,D2,7313,10820,8294,9081,9158,8933.2
28,D3,3709,6326,4604,5055,5265,4991.8
29,D4,7527,12321,9205,10120,10262,9887.0
30,D5,3821,7112,5037,5303,5652,5385.0
31,D6,792,1281,1007,1020,1175,1055.0
32,D8,2921,5397,4302,4395,4677,4338.4
33,D9,1359,2887,2040,2299,2284,2173.8
34,D10,5815,9614,7510,8115,8217,7854.2
35,D11,5377,8795,6182,5753,6000,6421.4
36,D12,711,1117,971,903,927,925.8
37,D13,492,798,647,494,636,613.4
38,D14,905,1583,1319,1379,1459,1329.0
39,D15,3949,6573,4882,5275,5375,5210.8
40,M2,420,650,480,393,571,502.8
41,M3,757,1183,858,953,918,933.8
42,M4,2123,3723,2664,2720,3007,2847.4
43,M5,1870,2743,2096,2191,2134,2206.8
44,M6,1654,2367,1812,2142,2272,2049.4
45,M7,957,1437,1119,1044,1107,1132.8
46,M8,808,1066,965,853,804,899.2
47,M9,670,1167,811,858,743,849.8
48,V3,328,426,296,412,420,376.4
49,V4,637,918,646,821,704,745.2
50,V5,794,1280,1001,1095,1057,1045.4
51,V6,155,469,149,149,262,236.8
52,V7,343,556,417,523,455,458.8
53,V8,105,165,190,205,55,144.0
54,V9,153,197,147,102,135,146.8
55,V10,507,783,466,454,496,541.2
56,V11,476,773,449,362,509,513.8
57,V12,772,1202,738,959,1104,955.0
58,V13,703,1069,889,903,974,907.6
59,V17,22,153,101,84,119,95.8
60,V19,465,645,582,565,545,560.4
61,V20,605,882,836,677,753,750.6
62,V29,294,500,420,457,406,415.4
63,V30,276,520,398,515,389,419.6
64,V33,111,257,147,108,212,167.0
65,V34,91,155,125,90,183,128.8
66,V35,1063,1495,1129,1351,1280,1263.6
67,V36,1075,1236,1096,1373,1363,1228.6
68,V37,547,843,838,873,815,783.2
69,V38,896,1265,1008,1195,1241,1121.0
