,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,27193,11757,7057,8942,7780,12545.8
1,ProductCD,1587,959,854,992,888,1056.0
2,card1,56111,26345,17137,20542,18050,27637.0
3,card2,42763,19793,12490,15547,13383,20795.2
4,card3,1673,1036,816,850,844,1043.8
5,card4,3129,1756,1214,1418,1385,1780.4
6,card5,13472,6844,4488,5567,4844,7043.0
7,card6,2341,1446,1174,1301,1078,1468.0
8,addr1,39299,19030,12100,15292,13689,19882.0
9,addr2,187,249,91,166,146,167.8
10,dist1,27084,12484,7948,10228,8703,13289.4
11,P_emaildomain,13818,6110,4241,5004,4520,6738.6
12,R_emaildomain,5732,2986,2054,2828,2371,3194.2
13,C1,11763,7040,5068,5757,5196,6964.8
14,C2,10643,5841,4229,4940,4616,6053.8
15,C4,1396,801,674,710,607,837.6
16,C5,4185,2255,1617,1785,1829,2334.2
17,C6,8799,5155,3479,4345,3668,5089.2
18,C7,899,489,360,413,364,505.0
19,C8,3340,1649,1067,1186,922,1632.8
20,C9,6721,3684,2803,3171,2937,3863.2
21,C10,3074,1659,1165,1332,1161,1678.2
22,C11,8104,4813,3457,4137,3681,4838.4
23,C12,3086,1831,1076,1330,1143,1693.2
24,C13,16479,9956,7141,8611,7618,9961.0
25,C14,9949,5575,3921,4633,4322,5680.0
26,D1,16092,8611,5955,7001,6508,8833.4
27,D2,19019,10124,7196,8683,7917,10587.8
28,D3,9485,5054,3086,3542,3166,4866.6
29,D4,21860,11399,7458,9241,7804,11552.4
30,D5,11676,5540,3115,4022,3119,5494.4
31,D6,4298,2183,1472,1744,1455,2230.4
32,D8,12131,6442,4426,5299,4684,6596.4
33,D9,6488,2958,1878,2230,1858,3082.4
34,D10,16988,9482,6492,7970,7046,9595.6
35,D11,15507,8228,5284,5739,4950,7941.6
36,D12,4205,1913,1212,1390,1273,1998.6
37,D13,2577,1487,832,933,947,1355.2
38,D14,5582,2613,1423,1788,1522,2585.6
39,D15,12425,6366,4396,5211,4705,6620.6
40,M2,1684,921,670,609,556,888.0
41,M3,2249,1307,870,1023,924,1274.6
42,M4,6067,3112,1979,2328,2174,3132.0
43,M5,5184,2712,2009,2195,2019,2823.8
44,M6,3953,2219,1521,1904,1769,2273.2
45,M7,2411,995,698,678,718,1100.0
46,M8,1828,983,843,784,648,1017.2
47,M9,2769,1334,906,925,799,1346.6
48,V3,1366,629,335,421,378,625.8
49,V4,2334,1084,651,799,637,1101.0
50,V5,3028,1408,792,967,715,1382.0
51,V6,986,562,278,388,252,493.2
52,V7,1251,624,429,540,384,645.6
53,V8,572,219,197,230,94,262.4
54,V9,490,250,176,174,161,250.2
55,V10,1625,719,345,417,357,692.6
56,V11,1659,706,378,419,368,706.0
57,V12,2378,1361,827,995,928,1297.8
58,V13,2580,1267,970,1153,964,1386.8
59,V17,217,164,85,73,91,126.0
60,V19,1898,1128,789,988,832,1127.0
61,V20,2573,1653,1124,1223,1161,1546.8
62,V29,1051,650,430,471,424,605.2
63,V30,1244,673,420,471,449,651.4
64,V33,329,292,194,202,172,237.8
65,V34,457,373,218,192,260,300.0
66,V35,3245,1552,1045,1399,1209,1690.0
67,V36,3169,1563,866,1279,1047,1584.8
68,V37,1833,939,667,812,669,984.0
69,V38,3003,1667,956,1266,1141,1606.6
70,V40,1085,527,316,414,386,545.6
71,V44,2373,1157,871,1053,875,1265.8
72,V45,3412,1744,1213,1420,1334,1824.6
73,V46,440,169,155,185,163,222.4
74,V47,959,544,447,541,528,603.8
75,V48,1612,806,501,602,511,806.4
76,V49,1883,889,530,659,665,925.2
77,V51,851,464,283,326,299,444.6
78,V52,1075,612,354,440,411,578.4
79,V53,2499,1496,931,1292,1085,1460.6
80,V54,2727,1504,1042,1301,1200,1554.8
81,V56,2147,1097,781,995,835,1171.0
82,V58,473,382,237,226,358,335.2
83,V59,513,248,154,188,115,243.6
84,V60,531,258,171,216,191,273.4
85,V61,2935,1576,1073,1367,1226,1635.4
86,V62,3327,1971,1453,1673,1670,2018.8
87,V63,324,185,127,200,142,195.6
88,V64,663,261,229,229,215,319.4
89,V69,1112,605,413,462,448,608.0
90,V70,1351,699,475,570,563,731.6
91,V71,267,186,75,102,110,148.0
92,V72,276,272,152,177,170,209.4
93,V73,581,314,193,232,232,310.4
94,V74,967,631,471,522,477,613.6
95,V75,2795,1634,1132,1283,1251,1619.0
96,V76,3234,1521,1148,1364,1243,1702.0
97,V78,3004,1603,969,1283,1268,1625.4
98,V80,440,200,133,136,127,207.2
99,V81,728,359,220,286,268,372.2
100,V82,2957,1400,1152,1348,1371,1645.6
101,V83,3593,1799,1291,1698,1615,1999.2
102,V84,194,120,66,93,56,105.8
103,V85,630,301,173,241,163,301.6
104,V87,3846,2024,1338,1666,1404,2055.6
105,V90,1245,717,455,554,500,694.2
106,V91,1403,765,492,573,521,750.8
107,V92,137,122,77,85,73,98.8
108,V93,332,178,124,157,160,190.2
109,V94,300,307,158,200,210,235.0
110,V95,492,220,123,139,112,217.2
111,V96,1854,966,578,693,612,940.6
112,V97,649,298,178,184,224,306.6
113,V99,1485,805,597,712,531,826.0
114,V100,359,169,107,118,127,176.0
115,V126,2548,1117,569,814,668,1143.2
116,V127,5135,2509,1483,1918,1475,2504.0
117,V128,3129,1376,772,1068,813,1431.6
118,V130,4890,2381,1706,2100,1533,2522.0
119,V131,2996,1285,1078,1248,939,1509.2
120,V138,19,9,12,9,19,13.6
121,V139,921,632,403,483,415,570.8
122,V140,670,400,249,321,244,376.8
123,V143,413,440,441,483,329,421.2
124,V145,424,329,255,300,250,311.6
125,V146,123,127,106,94,91,108.2
126,V147,225,171,95,131,96,143.6
127,V149,669,486,338,416,418,465.4
128,V150,516,329,205,281,256,317.4
129,V151,181,178,107,166,112,148.8
130,V152,343,340,210,333,303,305.8
131,V154,280,113,105,148,98,148.8
132,V156,643,396,241,323,283,377.2
133,V158,266,125,72,117,111,138.2
134,V159,391,225,171,238,208,246.6
135,V160,891,481,361,504,438,535.0
136,V161,129,110,136,135,150,132.0
137,V162,225,113,132,123,149,148.4
138,V163,126,59,107,83,120,99.0
139,V164,391,451,343,536,313,406.8
140,V165,1165,767,523,683,698,767.2
141,V166,354,346,207,288,214,281.8
142,V167,183,135,74,84,69,109.0
143,V169,411,233,201,176,205,245.2
144,V170,630,332,277,304,185,345.6
145,V171,579,345,273,298,217,342.4
146,V172,60,71,71,67,64,66.6
147,V173,71,38,55,62,58,56.8
148,V175,123,123,56,104,89,99.0
149,V176,309,177,71,103,76,147.2
150,V177,147,78,61,79,79,88.8
151,V178,349,173,133,177,121,190.6
152,V180,305,136,134,178,103,171.2
153,V182,238,151,127,142,109,153.4
154,V184,273,150,138,146,94,160.2
155,V187,931,582,327,326,452,523.6
156,V188,299,263,159,171,119,202.2
157,V189,393,256,250,306,225,286.0
158,V195,68,68,38,47,22,48.6
159,V197,136,237,117,124,73,137.4
160,V200,416,225,132,189,176,227.6
161,V201,398,325,183,241,176,264.6
162,V202,822,408,226,265,223,388.8
163,V203,1405,869,493,623,453,768.6
164,V204,940,471,267,341,275,458.8
165,V205,514,247,171,269,204,281.0
166,V206,525,207,191,259,173,271.0
167,V207,898,493,287,427,290,479.0
168,V208,1218,692,455,445,423,646.6
169,V209,1037,575,359,434,388,558.6
170,V210,904,514,338,395,331,496.4
171,V212,777,463,282,307,248,415.4
172,V213,583,316,208,254,175,307.2
173,V214,429,302,159,198,172,252.0
174,V215,957,571,313,427,301,513.8
175,V216,549,329,240,246,200,312.8
176,V217,362,235,199,187,195,235.6
177,V219,574,274,183,218,203,290.4
178,V220,518,363,315,277,167,328.0
179,V221,1704,833,530,586,530,836.6
180,V222,1270,646,325,367,358,593.2
181,V223,171,115,146,93,147,134.4
182,V224,429,294,160,275,222,276.0
183,V225,232,187,119,129,116,156.6
184,V226,336,107,157,168,164,186.4
185,V227,181,144,58,89,111,116.6
186,V228,393,223,109,138,147,202.0
187,V229,957,447,255,362,309,466.0
188,V231,284,137,100,130,101,150.4
189,V233,484,193,108,184,156,225.0
190,V234,747,364,275,263,235,376.8
191,V238,232,140,100,94,95,132.2
192,V239,248,176,108,122,99,150.6
193,V242,215,137,84,98,65,119.8
194,V243,501,251,249,204,200,281.0
195,V244,361,166,127,120,126,180.0
196,V245,752,413,272,333,315,417.0
197,V246,292,130,94,104,77,139.4
198,V247,98,71,32,33,42,55.2
199,V249,170,121,79,56,44,94.0
200,V251,564,422,224,235,297,348.4
201,V253,256,145,110,152,89,150.4
202,V256,528,241,239,306,239,310.6
203,V257,853,385,201,260,213,382.4
204,V258,779,482,405,460,467,518.6
205,V259,888,495,312,348,258,460.2
206,V261,1507,764,449,520,566,761.2
207,V262,973,375,260,307,292,441.4
208,V263,1273,550,319,424,339,581.0
209,V264,2691,1218,703,872,733,1243.4
210,V265,1569,620,380,537,385,698.2
211,V266,885,485,409,355,508,528.4
212,V267,1629,820,542,592,544,825.4
213,V268,955,585,428,388,337,538.6
214,V270,921,502,293,463,324,500.6
215,V271,904,660,393,528,458,588.6
216,V272,723,399,262,392,323,419.8
217,V273,734,300,208,258,218,343.6
218,V274,1509,687,455,601,486,747.6
219,V275,796,427,204,316,266,401.8
220,V276,787,427,249,320,276,411.8
221,V277,1690,785,416,555,449,779.0
222,V278,1134,588,283,496,328,565.8
223,V279,759,547,385,414,341,489.2
224,V280,981,522,318,457,380,531.6
225,V282,3143,1633,1127,1198,1298,1679.8
226,V283,3609,1796,1228,1453,1431,1903.4
227,V285,2190,1451,1047,1227,1140,1411.0
228,V287,436,236,166,201,187,245.2
229,V288,633,337,187,201,266,324.8
230,V289,676,458,347,323,351,431.0
231,V291,1934,1037,746,849,674,1048.0
232,V292,833,434,292,344,256,431.8
233,V294,1539,996,708,1027,764,1006.8
234,V303,276,120,63,101,78,127.6
235,V304,151,59,21,60,45,67.2
236,V306,2849,1244,638,923,790,1288.8
237,V307,7567,4012,2467,3215,2858,4023.8
238,V308,3710,1804,1066,1485,1415,1896.0
239,V310,6822,4035,2581,3281,2852,3914.2
240,V312,3890,2034,1240,1703,1397,2052.8
241,V313,8328,4020,2797,3355,3122,4324.4
242,V314,6244,2996,2005,2264,1950,3091.8
243,V315,6740,3371,2183,2611,2287,3438.4
244,V317,4129,1908,1200,1554,1341,2026.4
245,V322,95,72,41,44,48,60.0
246,V323,395,217,217,278,194,260.2
247,V324,206,101,109,113,115,128.8
248,V326,190,137,137,136,88,137.6
249,V329,172,92,67,73,81,97.0
250,V331,240,170,113,122,136,156.2
251,V332,528,358,241,304,240,334.2
252,V333,287,212,152,169,136,191.2
253,V335,395,240,196,215,182,245.6
254,V336,250,101,93,107,110,132.2
255,V338,352,235,180,215,138,224.0
256,id_01,4639,2290,1486,1887,1583,2377.0
257,id_02,8071,3518,2045,2602,2051,3657.4
258,id_03,1500,632,556,553,561,760.4
259,id_05,6749,3330,2185,2529,2159,3390.4
260,id_06,8497,3767,2534,2945,2711,4090.8
261,id_09,875,715,512,593,578,654.6
262,id_11,744,426,219,384,265,407.6
263,id_12,78,26,14,20,11,29.8
264,id_13,9151,4352,2735,3585,2634,4491.4
265,id_14,2390,1459,972,1162,1013,1399.2
266,id_15,563,269,182,215,227,291.2
267,id_17,994,476,513,536,537,611.2
268,id_19,14279,7436,4081,4973,4089,6971.6
269,id_20,16412,8453,5355,6516,5350,8417.2
270,id_30,2803,1525,1119,1420,1238,1621.0
271,id_31,9817,4999,2820,3606,2910,4830.4
272,id_32,374,265,237,300,271,289.4
273,id_33,2787,1479,1117,1582,1217,1636.4
274,id_36,36,24,16,37,28,28.2
275,id_37,420,254,192,209,198,254.6
276,id_38,962,723,891,926,822,864.8
277,DeviceType,936,497,324,507,400,532.8
278,DeviceInfo,6879,3150,1950,2434,1886,3259.8
279,device_name,3388,1620,1099,1327,1111,1709.0
280,device_version,5448,2577,1622,1766,1595,2601.6
281,OS_id_30,351,228,211,258,223,254.2
282,version_id_30,2453,1305,948,1175,908,1357.8
283,browser_id_31,1537,701,440,568,551,759.4
284,version_id_31,7648,4142,2551,3040,2465,3969.2
285,screen_width,1515,788,585,837,655,876.0
286,screen_height,2820,1691,1326,1588,1255,1736.0
287,had_id,2,0,0,0,2,0.8
288,TransactionAmt_to_mean_card1,46923,18560,10094,13971,11244,20158.4
289,TransactionAmt_to_std_card1,53844,21991,12301,17061,13819,23803.2
290,TransactionAmt_to_mean_card4,31373,13586,8092,10396,8549,14399.2
291,TransactionAmt_to_std_card4,33040,13196,7659,10915,8721,14706.2
292,TransactionAmt_to_mean_addr1,37341,15629,9114,12366,10725,17035.0
293,TransactionAmt_to_std_addr1,37181,15229,8830,11890,9938,16613.6
294,id_02_to_mean_card1,10388,4196,2464,3330,2608,4597.2
295,id_02_to_std_card1,11081,4642,2610,3618,2795,4949.2
296,id_02_to_mean_card4,8893,3864,2154,2922,2426,4051.8
297,id_02_to_std_card4,7652,3064,1957,2387,1982,3408.4
298,id_02_to_mean_addr1,2968,1644,1178,1495,1173,1691.6
299,id_02_to_std_addr1,2895,1795,1161,1592,1273,1743.2
300,D15_to_mean_card1,19577,10436,6662,8409,7394,10495.6
301,D15_to_std_card1,17702,8835,5970,7219,6235,9192.2
302,D15_to_mean_card4,14879,7516,5204,6213,5493,7861.0
303,D15_to_std_card4,11259,5891,3710,4790,4325,5995.0
304,D15_to_mean_addr1,14443,7239,5319,6316,5728,7809.0
305,D15_to_std_addr1,12092,6265,4415,5348,4870,6598.0
306,TransactionAmt_Log,18583,7780,4629,5684,5013,8337.8
307,TransactionAmt_decimal,23555,9718,5068,6772,5683,10159.2
308,Transaction_day_of_week,22334,8972,4242,6567,5163,9455.6
309,Transaction_hour,33508,12408,7067,9016,7206,13841.0
310,id_02__id_20,8469,3319,1675,2391,1724,3515.6
311,id_02__D8,5020,2006,1094,1425,1116,2132.2
312,D11__DeviceInfo,10987,5356,3103,3881,3256,5316.6
313,DeviceInfo__P_emaildomain,18009,7775,5097,6150,5524,8511.0
314,P_emaildomain__C2,28371,13963,8566,10659,9370,14185.8
315,card2__dist1,36280,16319,10797,13058,11793,17649.4
316,card1__card5,54063,25846,15745,20252,17531,26687.4
317,card2__id_20,26247,11808,7552,9606,7948,12632.2
318,card5__P_emaildomain,33538,15269,9644,11629,10260,16068.0
319,addr1__card1,61153,27957,17860,22505,19854,29865.8
320,card1_count_full,59143,27520,17327,22031,19579,29120.0
321,card2_count_full,41567,19554,12974,15763,14115,20794.6
322,card3_count_full,1765,1115,848,958,947,1126.6
323,card4_count_full,2135,1274,846,1119,1043,1283.4
324,card5_count_full,12013,5867,3677,4394,3974,5985.0
325,card6_count_full,1660,1002,826,922,883,1058.6
326,id_36_count_full,111,82,48,70,57,73.6
327,id_01_count_dist,3788,1832,1025,1398,1206,1849.8
328,id_31_count_dist,10610,5249,3515,4300,3369,5408.6
329,id_33_count_dist,3002,1742,1280,1646,1385,1811.0
330,id_36_count_dist,74,64,20,37,28,44.6
331,P_emaildomain_bin,12243,5829,3538,4402,3971,5996.6
332,P_emaildomain_suffix,1999,1207,727,975,820,1145.6
333,R_emaildomain_bin,4256,2064,1641,2070,1840,2374.2
334,R_emaildomain_suffix,537,330,247,268,265,329.4
