,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,25476,9828,6929,8514,6826,11514.6
1,ProductCD,1487,865,820,1001,819,998.4
2,card1,52846,22797,17058,20147,16565,25882.6
3,card2,40196,16838,12473,14930,11867,19260.8
4,card3,1609,936,801,855,748,989.8
5,card4,3017,1484,1253,1425,1238,1683.4
6,card5,13117,5664,4502,5311,4383,6595.4
7,card6,2281,1351,1189,1271,1011,1420.6
8,addr1,36461,16123,12278,14948,12386,18439.2
9,addr2,216,236,92,155,106,161.0
10,dist1,24996,10421,8009,9714,7978,12223.6
11,P_emaildomain,13085,5155,4186,4843,4084,6270.6
12,R_emaildomain,5379,2554,2062,2684,2119,2959.6
13,C1,11201,6316,5039,5633,4809,6599.6
14,C2,10347,5214,4255,4756,4160,5746.4
15,C4,1276,702,646,716,560,780.0
16,C5,4059,2041,1618,1854,1717,2257.8
17,C6,8442,4500,3386,4100,3496,4784.8
18,C7,875,417,388,405,307,478.4
19,C8,3111,1378,1045,1142,825,1500.2
20,C9,6548,3421,2698,3127,2688,3696.4
21,C10,2901,1467,1175,1297,1064,1580.8
22,C11,7992,4356,3476,3904,3391,4623.8
23,C12,3005,1634,1068,1271,1036,1602.8
24,C13,15481,9037,7199,8412,7227,9471.2
25,C14,9351,5019,3936,4564,3859,5345.8
26,D1,15123,7558,5922,6923,6005,8306.2
27,D2,17811,9096,7316,8391,7322,9987.2
28,D3,8973,4073,3183,3615,2773,4523.4
29,D4,20959,9749,7536,8913,6990,10829.4
30,D5,10949,4548,3121,3875,2770,5052.6
31,D6,4106,1862,1496,1663,1262,2077.8
32,D8,11877,5614,4463,5070,4265,6257.8
33,D9,6557,2656,2088,2388,1840,3105.8
34,D10,16178,8149,6658,7795,6336,9023.2
35,D11,14934,6832,5123,5551,4449,7377.8
36,D12,4019,1605,1214,1395,1173,1881.2
37,D13,2601,1250,881,884,830,1289.2
38,D14,5468,2162,1413,1694,1289,2405.2
39,D15,11699,5487,4465,5120,4360,6226.2
40,M2,1624,806,700,610,517,851.4
41,M3,2170,1205,894,977,894,1228.0
42,M4,5843,2634,2055,2206,1968,2941.2
43,M5,4977,2340,2003,2135,1905,2672.0
44,M6,3969,1961,1522,1772,1606,2166.0
45,M7,2344,852,732,702,632,1052.4
46,M8,1373,886,873,820,603,911.0
47,M9,2712,1134,902,954,743,1289.0
48,V3,1332,571,397,403,324,605.4
49,V4,2131,878,646,758,549,992.4
50,V5,2794,1205,754,918,608,1255.8
51,V6,904,452,305,367,249,455.4
52,V7,1189,583,416,548,341,615.4
53,V8,524,207,201,223,77,246.4
54,V9,496,219,185,166,140,241.2
55,V10,1597,547,290,415,286,627.0
56,V11,1652,598,356,424,317,669.4
57,V12,2268,1178,778,925,839,1197.6
58,V13,2371,1093,1012,1111,886,1294.6
59,V17,219,122,88,76,71,115.2
60,V19,1958,973,762,914,788,1079.0
61,V20,2464,1391,1159,1144,1037,1439.0
62,V29,1011,565,442,451,353,564.4
63,V30,1206,600,415,421,379,604.2
64,V33,325,255,189,162,167,219.6
65,V34,463,332,225,198,247,293.0
66,V35,3111,1443,1060,1302,1034,1590.0
67,V36,3103,1300,912,1266,900,1496.2
68,V37,1782,792,664,826,612,935.2
69,V38,2881,1413,955,1258,1073,1516.0
70,V40,1016,451,285,419,318,497.8
71,V44,2336,1001,878,1007,781,1200.6
72,V45,3179,1567,1196,1390,1246,1715.6
73,V46,377,145,166,188,141,203.4
74,V47,932,464,481,545,497,583.8
75,V48,1552,696,481,595,433,751.4
76,V49,1792,765,536,725,548,873.2
77,V51,748,373,254,304,271,390.0
78,V52,998,534,370,452,372,545.2
79,V53,2470,1216,947,1266,1011,1382.0
80,V54,2567,1337,1035,1307,1130,1475.2
81,V56,1984,958,806,959,721,1085.6
82,V58,460,336,248,217,317,315.6
83,V59,498,205,168,184,118,234.6
84,V60,516,226,176,214,173,261.0
85,V61,2739,1285,1058,1378,1169,1525.8
86,V62,3258,1734,1479,1611,1557,1927.8
87,V63,362,136,128,185,119,186.0
88,V64,631,211,242,237,206,305.4
89,V69,1021,536,385,412,404,551.6
90,V70,1281,635,509,564,508,699.4
91,V71,267,145,90,105,93,140.0
92,V72,278,245,141,159,171,198.8
93,V73,567,292,207,230,231,305.4
94,V74,883,543,461,488,448,564.6
95,V75,2732,1425,1073,1257,1103,1518.0
96,V76,3135,1304,1123,1353,1052,1593.4
97,V78,3006,1432,975,1267,1150,1566.0
98,V80,459,163,137,126,114,199.8
99,V81,710,307,246,264,231,351.6
100,V82,2817,1231,1159,1311,1229,1549.4
101,V83,3329,1616,1250,1632,1447,1854.8
102,V84,196,93,74,96,42,100.2
103,V85,627,275,191,224,143,292.0
104,V87,3589,1747,1353,1608,1284,1916.2
105,V90,1237,618,458,555,444,662.4
106,V91,1286,639,447,510,421,660.6
107,V92,128,112,69,74,57,88.0
