,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
0,TransactionAmt,24271,12025,7792,9349,6767,12040.8
1,ProductCD,1381,936,880,1023,861,1016.2
2,card1,49636,26838,18007,21081,15944,26301.2
3,card2,37323,20062,13351,16104,11800,19728.0
4,card3,1539,1018,818,856,747,995.6
5,card4,2848,1738,1288,1453,1195,1704.4
6,card5,12229,6813,4761,5806,4490,6819.8
7,card6,2192,1376,1245,1340,1010,1432.6
8,addr1,34277,19368,13155,16231,12054,19017.0
9,addr2,238,276,94,156,115,175.8
10,dist1,23184,12357,8432,10417,7885,12455.0
11,P_emaildomain,11955,6449,4425,5319,4100,6449.6
12,R_emaildomain,5244,2999,2242,2805,2140,3086.0
13,C1,10870,7229,5268,5996,4923,6857.2
14,C2,9638,5917,4519,4989,4054,5823.4
15,C4,1325,853,738,714,577,841.4
16,C5,3762,2259,1675,1849,1631,2235.2
17,C6,7984,5116,3631,4418,3418,4913.4
18,C7,885,556,409,457,371,535.6
19,C8,2990,1721,1189,1224,867,1598.2
20,C9,6057,3807,2841,3212,2555,3694.4
21,C10,2860,1749,1213,1367,1053,1648.4
22,C11,7679,4945,3627,3952,3373,4715.2
23,C12,2893,1939,1231,1400,1072,1707.0
24,C13,14666,10120,7564,8681,7107,9627.6
25,C14,8987,5773,4079,4763,3877,5495.8
26,D1,14114,8798,6273,7149,5929,8452.6
27,D2,16905,10021,7607,8853,7181,10113.4
28,D3,8306,4980,3316,3747,2803,4630.4
29,D4,19769,11493,8169,9708,7032,11234.2
30,D5,10265,5618,3334,4280,2717,5242.8
31,D6,4080,2277,1586,1874,1294,2222.2
32,D8,11380,6501,4981,5442,4199,6500.6
33,D9,5818,3194,2039,2516,1615,3036.4
34,D10,15240,9580,7167,8165,6416,9313.6
35,D11,13866,8253,5572,5637,4314,7528.4
36,D12,3824,1978,1423,1544,1181,1990.0
37,D13,2435,1528,996,1032,868,1371.8
38,D14,5144,2688,1657,1988,1281,2551.6
39,D15,11104,6484,4762,5373,4280,6400.6
40,M2,1511,871,679,631,554,849.2
41,M3,1989,1307,928,1020,879,1224.6
42,M4,5423,3194,2082,2289,1919,2981.4
43,M5,4598,2742,2111,2253,1908,2722.4
44,M6,3623,2179,1601,1881,1590,2174.8
45,M7,2227,1105,807,740,567,1089.2
46,M8,1757,1001,863,861,544,1005.2
47,M9,2429,1337,914,977,716,1274.6
48,V3,1270,594,370,460,286,596.0
49,V4,2135,1105,713,818,542,1062.6
50,V5,2686,1486,813,966,596,1309.4
51,V6,907,544,325,410,224,482.0
52,V7,1107,617,457,552,363,619.2
53,V8,458,235,206,231,62,238.4
